<meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>
<meta message set_tempo tempo=461530 time=0>
<meta message end_of_track time=211968>
<meta message track_name name='STRINGS' time=0>
note_on 0 66 76 170 
note_off 0 69 0 82 
note_off 0 66 0 96 
note_on 0 71 110 14 
note_off 0 71 0 800 
note_on 0 72 78 160 
note_on 0 71 70 48 
note_off 0 72 0 48 
note_on 0 69 72 0 
note_off 0 71 0 18 
note_on 0 71 70 30 
note_on 0 72 76 48 
note_off 0 69 0 16 
note_off 0 71 0 18 
note_off 0 72 0 132 
note_on 0 69 75 26 
note_off 0 69 0 166 
note_on 0 74 76 26 
note_on 0 76 77 768 
note_off 0 74 0 28 
note_on 0 78 87 356 
note_off 0 76 0 16 
note_off 0 78 0 364 
note_on 0 79 89 4 
note_on 0 81 90 384 
note_off 0 79 0 34 
note_on 0 83 94 350 
note_off 0 81 0 34 
note_off 0 83 0 350 
note_on 0 85 97 0 
note_off 0 85 0 358 
note_on 0 86 102 26 
note_off 0 86 0 546 
note_on 0 81 96 30 
note_on 0 85 97 192 
note_off 0 81 0 34 
note_on 0 81 80 158 
note_off 0 85 0 50 
note_on 0 85 97 142 
note_off 0 81 0 24 
note_on 0 81 85 168 
note_off 0 85 0 28 
note_off 0 81 0 138 
note_on 0 86 107 26 
note_on 0 81 80 576 
note_off 0 86 0 18 
note_on 0 85 97 174 
note_off 0 81 0 24 
note_on 0 81 80 168 
note_off 0 85 0 34 
note_off 0 81 0 158 
note_on 0 85 97 0 
note_off 0 85 0 192 
note_on 0 81 80 0 
note_off 0 81 0 166 
note_on 0 86 107 26 
note_off 0 86 0 144 
note_on 0 86 96 48 
note_on 0 78 96 0 
note_off 0 78 0 336 
note_off 0 86 0 0 
note_on 0 86 90 48 
note_on 0 78 96 0 
note_off 0 78 0 336 
note_off 0 86 0 0 
note_on 0 78 96 48 
note_on 0 86 96 0 
note_off 0 86 0 322 
note_off 0 78 0 16 
note_on 0 86 96 46 
note_on 0 78 90 0 
note_on 0 76 85 192 
note_off 0 78 0 18 
note_off 0 86 0 150 
note_off 0 76 0 10 
note_on 0 76 90 14 
