<meta message set_tempo tempo=500000 time=0>
<meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>
<meta message end_of_track time=108702>
<meta message track_name name='A.PIANO 1' time=0>
note_off 0 55 0 56 
note_on 0 47 36 172 
note_on 0 57 47 16 
note_off 0 48 0 28 
control_change 0 64 0 158 
control_change 0 64 127 136 
note_off 0 57 0 108 
note_on 0 59 39 4 
control_change 0 64 0 110 
control_change 0 64 127 110 
note_off 0 59 0 122 
note_off 0 47 0 70 
note_on 0 60 37 12 
note_on 0 45 35 4 
control_change 0 64 0 26 
note_off 0 52 0 116 
control_change 0 64 127 32 
note_off 0 67 0 40 
note_on 0 67 52 186 
note_on 0 52 45 16 
note_off 0 52 0 204 
note_off 0 45 0 166 
note_on 0 69 71 4 
note_on 0 54 41 4 
note_on 0 43 39 18 
note_off 0 67 0 74 
control_change 0 64 0 160 
control_change 0 64 127 88 
note_off 0 54 0 26 
note_on 0 72 67 38 
note_on 0 55 52 14 
note_off 0 69 0 4 
control_change 0 64 0 26 
note_off 0 60 0 62 
control_change 0 64 127 24 
note_off 0 43 0 20 
note_on 0 71 67 48 
note_off 0 55 0 40 
note_off 0 72 0 16 
note_on 0 42 37 62 
note_on 0 72 71 116 
note_on 0 57 58 16 
note_off 0 71 0 32 
control_change 0 64 0 156 
note_off 0 57 0 164 
note_on 0 74 84 24 
note_on 0 62 46 6 
note_off 0 72 0 18 
control_change 0 64 127 82 
note_on 0 72 87 88 
note_off 0 42 0 38 
note_off 0 62 0 8 
note_off 0 74 0 32 
note_on 0 71 74 132 
note_on 0 64 42 4 
note_on 0 48 47 10 
note_off 0 72 0 12 
note_off 0 64 0 196 
note_on 0 66 57 144 
note_on 0 72 87 10 
note_off 0 71 0 34 
control_change 0 64 0 30 
note_on 0 69 85 130 
control_change 0 64 127 16 
note_off 0 72 0 22 
note_off 0 66 0 68 
note_on 0 74 78 144 
note_off 0 48 0 8 
note_on 0 67 64 0 
note_on 0 47 38 18 
control_change 0 64 0 24 
note_off 0 69 0 14 
control_change 0 64 127 342 
note_on 0 57 72 0 
note_off 0 47 0 84 
note_off 0 57 0 54 
note_on 0 59 54 294 
note_on 0 43 41 16 
control_change 0 64 0 68 
note_on 0 76 81 124 
note_off 0 74 0 30 
control_change 0 64 127 8 
note_off 0 43 0 42 
note_off 0 59 0 50 
note_on 0 74 77 98 
note_on 0 60 71 12 
note_off 0 76 0 22 
note_off 0 74 0 84 
note_on 0 72 83 0 
note_on 0 74 71 110 
note_off 0 72 0 10 
note_off 0 60 0 64 
note_off 0 74 0 44 
note_on 0 76 87 0 
note_on 0 62 58 146 
note_on 0 71 73 0 
note_off 0 76 0 20 
note_on 0 50 51 0 
control_change 0 64 0 60 
note_on 0 66 62 328 
note_off 0 67 0 46 
control_change 0 64 127 204 
note_on 0 67 59 142 
note_off 0 66 0 2 
note_on 0 69 70 2 
note_off 0 71 0 62 
control_change 0 64 0 172 
note_on 0 64 70 146 
control_change 0 64 127 14 
note_off 0 67 0 80 
note_off 0 62 0 56 
note_off 0 69 0 234 
note_on 0 66 62 2 
note_on 0 71 58 0 
note_on 0 38 49 24 
control_change 0 64 0 22 
note_off 0 64 0 74 
note_off 0 71 0 44 
note_on 0 69 68 12 
control_change 0 64 127 18 
note_off 0 69 0 44 
note_off 0 38 0 16 
note_on 0 71 50 2 
note_off 0 50 0 76 
note_off 0 71 0 16 
note_on 0 69 49 14 
note_off 0 69 0 42 
note_on 0 71 66 16 
note_off 0 71 0 66 
note_on 0 60 60 22 
note_on 0 69 45 0 
note_off 0 69 0 44 
note_on 0 71 53 18 
note_on 0 69 46 70 
note_off 0 71 0 14 
note_off 0 69 0 34 
note_on 0 71 37 36 
note_on 0 69 49 42 
note_off 0 71 0 6 
note_off 0 69 0 44 
note_on 0 71 48 36 
note_off 0 60 0 16 
note_on 0 62 51 4 
note_on 0 69 54 18 
note_off 0 71 0 18 
note_off 0 69 0 28 
note_on 0 71 20 28 
note_on 0 69 48 70 
note_off 0 71 0 4 
note_off 0 69 0 38 
note_on 0 71 34 38 
note_off 0 71 0 46 
note_on 0 69 34 18 
note_on 0 71 32 36 
note_off 0 69 0 10 
note_off 0 71 0 50 
note_on 0 69 55 24 
note_off 0 69 0 44 
note_on 0 67 56 42 
note_on 0 57 38 24 
note_off 0 62 0 8 
note_off 0 67 0 140 
note_on 0 69 46 48 
note_off 0 57 0 256 
note_on 0 67 62 80 
note_on 0 59 36 4 
note_off 0 69 0 12 
note_on 0 43 41 0 
control_change 0 64 0 58 
note_off 0 66 0 34 
control_change 0 64 127 212 
note_off 0 67 0 76 
note_on 0 67 50 160 
note_on 0 62 52 400 
control_change 0 64 0 188 
control_change 0 64 127 108 
note_on 0 65 51 88 
note_off 0 62 0 66 
note_off 0 59 0 58 
control_change 0 64 0 24 
control_change 0 64 127 48 
note_on 0 64 52 192 
note_off 0 65 0 66 
control_change 0 64 0 62 
control_change 0 64 127 122 
note_on 0 59 40 158 
note_off 0 59 0 328 
note_on 0 60 39 76 
note_off 0 60 0 192 
note_on 0 59 32 22 
note_off 0 59 0 206 
note_on 0 60 40 20 
note_on 0 54 27 10 
control_change 0 64 0 58 
control_change 0 64 127 148 
note_off 0 54 0 146 
note_off 0 64 0 22 
note_on 0 62 29 18 
note_on 0 55 27 36 
control_change 0 64 0 24 
note_off 0 60 0 170 
control_change 0 64 127 14 
note_on 0 60 29 302 
note_off 0 60 0 184 
note_on 0 59 16 242 
control_change 0 64 0 110 
control_change 0 64 127 72 
note_on 0 57 22 236 
control_change 0 64 0 72 
note_off 0 59 0 84 
control_change 0 64 127 74 
note_off 0 57 0 124 
note_on 0 59 17 294 
control_change 0 64 0 444 
control_change 0 64 127 210 
note_off 0 55 0 126 
note_off 0 67 0 10 
note_off 0 62 0 16 
note_off 0 43 0 26 
note_off 0 59 0 366 
note_on 0 71 36 688 
note_on 0 62 15 26 
note_on 0 43 23 12 
note_on 0 55 18 8 
note_off 0 55 0 276 
note_on 0 57 25 532 
control_change 0 64 0 150 
control_change 0 64 127 98 
note_off 0 57 0 136 
note_off 0 71 0 26 
note_on 0 72 50 2 
note_off 0 72 0 198 
note_off 0 43 0 20 
note_on 0 74 63 2 
note_on 0 59 30 254 
note_on 0 72 56 4 
note_on 0 55 32 18 
note_off 0 74 0 42 
control_change 0 64 0 14 
control_change 0 64 127 144 
note_off 0 72 0 28 
note_off 0 62 0 22 
note_on 0 71 46 134 
note_on 0 62 25 44 
note_off 0 62 0 200 
note_off 0 71 0 130 
note_on 0 69 42 10 
note_on 0 60 33 34 
control_change 0 64 0 88 
control_change 0 64 127 98 
note_off 0 60 0 10 
note_on 0 71 31 164 
note_off 0 69 0 8 
note_on 0 62 19 16 
control_change 0 64 0 86 
control_change 0 64 127 72 
note_on 0 67 36 34 
note_off 0 71 0 8 
note_off 0 62 0 66 
note_on 0 69 44 156 
note_on 0 60 36 20 
note_off 0 67 0 4 
note_on 0 64 23 4 
note_off 0 59 0 18 
control_change 0 64 0 72 
control_change 0 64 127 172 
note_on 0 62 37 108 
note_off 0 60 0 14 
control_change 0 64 0 210 
control_change 0 64 127 86 
note_off 0 62 0 74 
note_on 0 60 34 10 
control_change 0 64 0 200 
control_change 0 64 127 86 
note_on 0 59 27 98 
note_off 0 60 0 16 
control_change 0 64 0 120 
control_change 0 64 127 98 
note_off 0 55 0 92 
note_off 0 59 0 34 
note_on 0 62 31 46 
note_on 0 54 22 18 
note_on 0 57 27 16 
note_off 0 64 0 36 
note_off 0 69 0 152 
note_on 0 69 56 196 
control_change 0 64 0 136 
control_change 0 64 127 134 
note_on 0 74 57 128 
note_off 0 69 0 26 
control_change 0 64 0 44 
control_change 0 64 127 108 
note_on 0 72 50 54 
note_off 0 74 0 28 
note_off 0 72 0 148 
note_on 0 71 38 24 
control_change 0 64 0 78 
note_on 0 72 52 120 
note_off 0 71 0 8 
control_change 0 64 127 132 
note_off 0 57 0 72 
note_off 0 54 0 28 
note_on 0 71 51 8 
note_on 0 55 30 8 
note_off 0 72 0 12 
control_change 0 64 0 252 
control_change 0 64 127 320 
note_off 0 55 0 254 
note_on 0 57 33 34 
note_on 0 54 26 14 
note_off 0 71 0 178 
note_on 0 72 67 24 
note_off 0 72 0 192 
note_on 0 71 54 10 
note_on 0 69 63 184 
note_off 0 71 0 30 
note_off 0 57 0 202 
note_on 0 67 62 8 
note_on 0 59 38 10 
note_on 0 52 35 26 
note_off 0 54 0 24 
note_off 0 69 0 14 
control_change 0 64 0 74 
note_on 0 69 49 242 
note_off 0 67 0 8 
control_change 0 64 127 20 
note_off 0 69 0 148 
note_on 0 67 52 20 
note_off 0 62 0 12 
note_off 0 67 0 154 
note_off 0 59 0 42 
note_on 0 66 49 30 
note_on 0 61 23 4 
note_on 0 57 32 10 
control_change 0 64 0 48 
control_change 0 64 127 258 
note_off 0 57 0 22 
note_off 0 66 0 56 
control_change 0 64 0 20 
note_on 0 69 37 2 
note_on 0 55 32 0 
control_change 0 64 127 160 
note_off 0 69 0 32 
note_on 0 67 37 30 
note_off 0 61 0 174 
note_off 0 52 0 26 
note_off 0 55 0 16 
note_on 0 69 47 64 
control_change 0 64 0 12 
note_off 0 67 0 14 
note_on 0 54 38 12 
note_on 0 50 27 10 
control_change 0 64 127 334 
note_on 0 57 55 42 
note_off 0 57 0 220 
note_on 0 59 43 180 
control_change 0 64 0 148 
control_change 0 64 127 148 
note_on 0 61 51 70 
note_off 0 59 0 90 
control_change 0 64 0 50 
control_change 0 64 127 146 
note_off 0 61 0 102 
note_on 0 62 32 30 
control_change 0 64 0 102 
control_change 0 64 127 172 
note_off 0 62 0 102 
note_on 0 60 22 76 
control_change 0 64 0 94 
control_change 0 64 127 134 
note_off 0 50 0 128 
note_off 0 60 0 14 
note_on 0 59 19 36 
note_on 0 51 21 0 
control_change 0 64 0 92 
control_change 0 64 127 186 
note_off 0 59 0 88 
note_on 0 60 38 56 
note_off 0 69 0 108 
note_off 0 54 0 36 
note_off 0 51 0 44 
note_off 0 60 0 24 
note_on 0 67 65 190 
note_on 0 59 37 26 
note_on 0 52 26 16 
note_on 0 55 26 0 
control_change 0 64 0 136 
control_change 0 64 127 184 
note_off 0 59 0 24 
note_on 0 60 36 6 
note_off 0 60 0 248 
note_off 0 52 0 114 
note_on 0 62 22 6 
note_on 0 50 39 20 
note_off 0 62 0 42 
note_on 0 60 49 8 
note_off 0 60 0 46 
note_on 0 62 62 10 
note_off 0 62 0 58 
note_on 0 60 34 20 
note_off 0 60 0 54 
note_on 0 62 47 26 
control_change 0 64 0 44 
note_on 0 60 54 2 
note_off 0 62 0 14 
note_off 0 60 0 92 
note_on 0 59 47 22 
control_change 0 64 127 42 
note_off 0 59 0 100 
note_on 0 60 42 6 
note_off 0 67 0 42 
control_change 0 64 0 110 
note_on 0 67 75 68 
note_off 0 50 0 2 
note_on 0 48 44 0 
note_on 0 62 49 2 
note_off 0 60 0 58 
control_change 0 64 127 240 
note_off 0 55 0 66 
note_on 0 53 46 20 
control_change 0 64 0 196 
control_change 0 64 127 98 
note_on 0 52 53 80 
note_off 0 53 0 2 
note_on 0 47 28 24 
note_off 0 48 0 122 
control_change 0 64 0 18 
control_change 0 64 127 136 
note_off 0 52 0 90 
note_on 0 53 47 0 
control_change 0 64 0 58 
control_change 0 64 127 146 
note_off 0 67 0 58 
note_off 0 53 0 138 
note_off 0 47 0 10 
note_on 0 67 59 4 
note_on 0 52 37 10 
note_on 0 48 36 4 
control_change 0 64 0 378 
note_on 0 55 44 18 
note_off 0 62 0 100 
control_change 0 64 127 42 
note_off 0 55 0 68 
note_on 0 57 52 184 
note_on 0 47 37 4 
note_off 0 48 0 100 
control_change 0 64 0 98 
control_change 0 64 127 112 
note_on 0 59 45 68 
note_off 0 57 0 2 
control_change 0 64 0 114 
control_change 0 64 127 112 
note_off 0 59 0 178 
note_on 0 60 42 22 
note_on 0 45 42 4 
note_off 0 47 0 24 
control_change 0 64 0 18 
note_off 0 52 0 88 
control_change 0 64 127 82 
note_off 0 67 0 18 
note_on 0 67 56 232 
note_on 0 52 59 6 
note_off 0 52 0 194 
note_off 0 45 0 160 
note_on 0 54 46 24 
note_on 0 69 67 10 
note_on 0 43 38 28 
note_off 0 67 0 68 
control_change 0 64 0 10 
control_change 0 64 127 160 
note_off 0 54 0 74 
note_on 0 72 70 48 
note_on 0 55 60 10 
note_off 0 69 0 38 
note_off 0 43 0 46 
note_off 0 55 0 112 
note_off 0 72 0 2 
note_on 0 71 60 6 
note_on 0 42 39 70 
note_off 0 60 0 114 
control_change 0 64 0 48 
note_on 0 72 74 12 
note_on 0 57 69 8 
note_off 0 71 0 30 
control_change 0 64 127 268 
note_off 0 42 0 82 
note_on 0 74 76 44 
note_on 0 62 48 6 
note_off 0 72 0 8 
note_on 0 72 88 180 
note_off 0 62 0 36 
note_off 0 74 0 42 
note_on 0 71 69 148 
note_on 0 64 53 4 
note_on 0 48 47 20 
note_off 0 72 0 16 
control_change 0 64 0 78 
control_change 0 64 127 122 
note_off 0 64 0 40 
note_on 0 72 86 108 
note_on 0 66 57 20 
note_off 0 71 0 12 
note_on 0 69 85 162 
note_off 0 72 0 24 
note_off 0 66 0 138 
note_off 0 57 0 6 
note_off 0 48 0 58 
note_on 0 74 84 8 
note_on 0 67 68 4 
note_on 0 47 41 10 
control_change 0 64 0 50 
note_off 0 69 0 12 
control_change 0 64 127 248 
note_on 0 57 63 56 
note_off 0 47 0 48 
note_off 0 57 0 116 
note_on 0 59 59 248 
note_on 0 43 49 14 
control_change 0 64 0 96 
note_on 0 76 77 102 
note_off 0 74 0 30 
control_change 0 64 127 14 
note_off 0 43 0 32 
note_off 0 59 0 72 
note_on 0 74 70 120 
note_on 0 60 66 16 
note_off 0 76 0 26 
note_on 0 72 80 92 
note_off 0 74 0 8 
note_off 0 72 0 122 
note_on 0 74 67 2 
note_off 0 60 0 84 
note_on 0 76 83 40 
note_off 0 74 0 6 
note_on 0 62 62 140 
note_on 0 71 69 8 
note_on 0 50 41 16 
note_off 0 76 0 6 
control_change 0 64 0 10 
control_change 0 64 127 282 
note_on 0 66 51 110 
note_off 0 67 0 60 
control_change 0 64 0 76 
control_change 0 64 127 112 
note_off 0 66 0 116 
note_on 0 69 63 26 
note_on 0 67 50 10 
note_off 0 71 0 70 
control_change 0 64 0 84 
control_change 0 64 127 124 
note_on 0 64 60 82 
note_off 0 62 0 62 
note_off 0 67 0 204 
note_off 0 69 0 108 
note_on 0 66 53 0 
note_on 0 71 55 22 
note_on 0 38 47 12 
note_off 0 64 0 22 
control_change 0 64 0 52 
note_on 0 69 69 94 
note_off 0 71 0 6 
control_change 0 64 127 36 
note_off 0 38 0 22 
note_on 0 71 41 34 
note_off 0 69 0 6 
note_off 0 50 0 26 
note_on 0 69 60 48 
note_off 0 71 0 4 
note_off 0 69 0 52 
note_on 0 71 47 26 
note_on 0 60 65 20 
note_off 0 71 0 54 
note_on 0 69 51 10 
note_off 0 69 0 42 
note_on 0 71 58 30 
note_off 0 71 0 58 
note_on 0 69 39 10 
note_off 0 69 0 46 
note_on 0 71 55 18 
note_off 0 71 0 72 
note_on 0 69 42 6 
note_on 0 62 55 26 
note_off 0 60 0 2 
note_off 0 69 0 14 
note_on 0 71 44 28 
note_on 0 69 57 44 
note_off 0 71 0 4 
note_off 0 69 0 48 
note_on 0 71 42 32 
note_off 0 71 0 40 
note_on 0 69 62 6 
note_off 0 69 0 38 
note_on 0 71 51 24 
note_on 0 69 31 86 
note_off 0 71 0 14 
note_off 0 69 0 54 
note_on 0 67 35 56 
note_on 0 57 47 2 
note_off 0 62 0 20 
note_off 0 67 0 172 
note_on 0 69 40 32 
note_off 0 66 0 130 
note_off 0 57 0 100 
note_on 0 43 34 114 
note_off 0 69 0 2 
note_on 0 67 57 20 
note_on 0 59 34 0 
control_change 0 64 0 18 
control_change 0 64 127 318 
note_off 0 67 0 10 
note_on 0 67 50 262 
note_on 0 62 44 418 
control_change 0 64 0 146 
control_change 0 64 127 86 
note_on 0 65 34 148 
note_off 0 62 0 26 
control_change 0 64 0 22 
control_change 0 64 127 148 
note_on 0 64 33 204 
note_off 0 65 0 2 
control_change 0 64 0 4 
note_off 0 59 0 174 
control_change 0 64 127 22 
note_on 0 59 16 192 
control_change 0 64 0 42 
control_change 0 64 127 134 
note_off 0 59 0 94 
note_on 0 60 29 124 
control_change 0 64 0 78 
control_change 0 64 127 74 
note_off 0 60 0 44 
note_on 0 59 23 18 
note_off 0 59 0 192 
note_on 0 60 28 44 
note_on 0 54 24 4 
control_change 0 64 0 30 
control_change 0 64 127 172 
note_off 0 54 0 106 
note_off 0 64 0 84 
note_on 0 62 21 30 
control_change 0 64 0 38 
note_on 0 55 24 6 
note_off 0 60 0 100 
control_change 0 64 127 102 
note_on 0 60 25 212 
note_off 0 60 0 274 
note_on 0 59 18 132 
control_change 0 64 0 72 
control_change 0 64 127 98 
note_on 0 57 24 218 
