<meta message time_signature numerator=2 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>
<meta message key_signature key='C' time=0>
<meta message set_tempo tempo=833332 time=0>
<meta message track_name name='Symphony no.7, 2nd movement' time=0>
<meta message text text='Ludwig van Beethoven' time=0>
<meta message set_tempo tempo=833332 time=1024>
<meta message set_tempo tempo=967740 time=139776>
<meta message set_tempo tempo=1111111 time=512>
<meta message end_of_track time=1>
note_on 0 83 49 0 
note_off 0 81 0 5 
note_off 0 85 0 0 
note_on 0 78 54 251 
note_on 0 87 54 0 
note_off 0 80 0 5 
note_off 0 83 0 0 
note_on 0 76 54 251 
note_on 0 88 54 0 
note_off 0 78 0 5 
note_off 0 87 0 0 
note_off 0 76 0 238 
note_off 0 88 0 0 
note_on 0 88 100 9485 
note_off 0 88 0 597 
note_on 0 89 96 0 
note_on 0 88 91 85 
note_off 0 89 0 1 
note_on 0 91 96 85 
note_off 0 88 0 1 
note_on 0 89 77 84 
note_off 0 91 0 1 
note_on 0 81 69 84 
note_off 0 89 0 1 
note_off 0 81 0 80 
note_on 0 84 50 5 
note_on 0 88 91 256 
note_off 0 84 0 5 
note_on 0 86 83 123 
note_off 0 88 0 2 
note_off 0 86 0 119 
note_on 0 84 74 7 
note_off 0 84 0 256 
note_on 0 89 73 256 
note_off 0 89 0 384 
note_on 0 89 80 0 
note_off 0 89 0 128 
note_on 0 89 80 0 
note_on 0 88 74 85 
note_off 0 89 0 1 
note_off 0 88 0 79 
note_on 0 86 76 5 
note_off 0 86 0 51 
note_on 0 84 74 35 
note_off 0 84 0 51 
note_on 0 83 75 34 
note_off 0 83 0 51 
note_on 0 81 74 34 
note_off 0 81 0 51 
note_on 0 79 75 35 
note_on 0 81 78 256 
note_off 0 79 0 5 
note_off 0 81 0 116 
note_on 0 83 80 7 
note_off 0 83 0 76 
note_on 0 84 80 52 
note_off 0 84 0 341 
note_on 0 86 84 0 
note_on 0 88 93 85 
note_off 0 86 0 1 
note_off 0 88 0 80 
note_on 0 89 90 5 
note_off 0 89 0 384 
note_on 0 89 86 0 
note_off 0 89 0 128 
note_on 0 89 94 0 
note_off 0 89 0 51 
note_on 0 88 88 34 
note_off 0 88 0 51 
note_on 0 86 87 34 
note_off 0 86 0 51 
note_on 0 84 102 35 
note_off 0 84 0 51 
note_on 0 83 90 34 
note_off 0 83 0 51 
note_on 0 81 87 34 
note_off 0 81 0 51 
note_on 0 79 92 35 
note_off 0 79 0 128 
note_on 0 76 104 2176 
note_on 0 88 104 0 
note_off 0 76 0 76 
note_off 0 88 0 0 
note_on 0 76 110 52 
note_on 0 88 110 0 
note_off 0 76 0 76 
note_off 0 88 0 0 
note_on 0 84 45 52 
note_on 0 83 48 512 
note_off 0 84 0 10 
note_off 0 83 0 467 
note_on 0 83 54 35 
note_off 0 83 0 55 
note_on 0 84 54 0 
note_on 0 86 54 55 
note_off 0 84 0 0 
note_on 0 84 45 231 
note_off 0 84 0 85 
note_on 0 83 45 0 
note_off 0 86 0 7 
note_off 0 83 0 79 
note_on 0 83 51 0 
note_on 0 84 55 128 
note_off 0 83 0 2 
note_off 0 84 0 119 
note_on 0 84 50 7 
note_off 0 84 0 256 
note_on 0 84 51 0 
note_on 0 86 55 384 
note_off 0 84 0 7 
note_off 0 86 0 114 
note_on 0 87 52 7 
note_on 0 88 54 128 
note_off 0 87 0 2 
note_off 0 88 0 119 
note_on 0 88 49 7 
note_off 0 88 0 76 
note_on 0 88 44 52 
note_off 0 88 0 76 
note_on 0 86 52 52 
note_off 0 86 0 55 
note_on 0 88 52 0 
note_on 0 89 52 55 
note_off 0 88 0 0 
note_on 0 88 48 231 
note_off 0 88 0 85 
note_on 0 86 45 0 
note_off 0 89 0 7 
note_off 0 86 0 79 
note_on 0 86 49 0 
note_on 0 88 45 128 
note_off 0 86 0 2 
note_off 0 88 0 119 
note_on 0 88 49 7 
note_off 0 88 0 256 
note_on 0 88 48 0 
note_on 0 90 50 384 
note_off 0 88 0 7 
note_on 0 88 55 121 
note_off 0 90 0 2 
note_on 0 87 51 254 
note_off 0 88 0 5 
note_off 0 87 0 116 
note_on 0 86 40 135 
note_on 0 88 44 384 
note_off 0 86 0 7 
note_on 0 86 48 121 
note_off 0 88 0 2 
note_on 0 85 45 126 
note_off 0 86 0 2 
note_on 0 84 42 126 
note_off 0 85 0 2 
note_off 0 84 0 119 
note_on 0 84 42 135 
note_on 0 83 42 512 
note_off 0 84 0 10 
note_on 0 84 54 246 
note_off 0 83 0 5 
note_off 0 84 0 216 
note_on 0 83 45 35 
note_off 0 83 0 55 
note_on 0 84 45 0 
note_on 0 86 45 55 
note_off 0 84 0 0 
note_on 0 84 45 231 
note_off 0 84 0 85 
note_on 0 83 41 0 
note_off 0 86 0 7 
note_off 0 83 0 79 
note_on 0 81 48 0 
note_off 0 81 0 51 
note_on 0 81 47 34 
note_on 0 83 47 85 
note_off 0 81 0 1 
note_off 0 83 0 80 
note_on 0 84 54 5 
note_off 0 84 0 51 
note_on 0 84 48 34 
note_on 0 86 48 85 
note_off 0 84 0 1 
note_on 0 88 52 85 
note_off 0 86 0 1 
note_off 0 88 0 370 
note_on 0 90 48 13 
note_on 0 88 45 128 
note_off 0 90 0 2 
note_on 0 87 41 254 
note_off 0 88 0 5 
note_off 0 87 0 116 
note_on 0 86 42 135 
note_on 0 83 38 85 
note_off 0 86 0 1 
note_on 0 85 53 84 
note_off 0 83 0 1 
note_on 0 86 57 85 
note_off 0 85 0 1 
note_on 0 88 48 84 
note_off 0 86 0 1 
note_on 0 86 44 84 
note_off 0 88 0 1 
note_off 0 86 0 80 
note_on 0 86 48 5 
note_on 0 85 41 128 
note_off 0 86 0 2 
note_on 0 84 45 126 
note_off 0 85 0 2 
note_off 0 84 0 119 
note_on 0 84 43 135 
note_on 0 83 40 512 
note_off 0 84 0 10 
note_on 0 84 48 246 
note_off 0 83 0 5 
note_off 0 84 0 216 
note_on 0 83 53 35 
note_off 0 83 0 55 
note_on 0 84 53 0 
note_on 0 86 53 55 
note_off 0 84 0 0 
note_on 0 84 49 231 
note_off 0 84 0 85 
note_on 0 83 46 0 
note_off 0 86 0 7 
note_off 0 83 0 79 
note_on 0 81 47 0 
note_off 0 81 0 256 
note_on 0 81 43 256 
note_off 0 81 0 341 
note_on 0 83 46 0 
note_on 0 85 46 85 
note_off 0 83 0 1 
note_off 0 85 0 80 
note_on 0 85 45 5 
note_on 0 86 42 128 
note_off 0 85 0 2 
note_off 0 86 0 119 
note_on 0 86 50 7 
note_off 0 86 0 256 
note_on 0 86 49 0 
note_off 0 86 0 341 
note_on 0 88 47 0 
note_on 0 89 52 85 
note_off 0 88 0 1 
note_off 0 89 0 80 
note_on 0 89 50 5 
note_on 0 88 44 128 
note_off 0 89 0 2 
note_off 0 88 0 119 
note_on 0 88 46 7 
note_off 0 88 0 256 
note_on 0 81 49 0 
note_off 0 81 0 85 
note_on 0 81 48 0 
note_off 0 81 0 85 
note_on 0 81 56 0 
note_off 0 81 0 86 
note_on 0 81 50 0 
note_on 0 83 59 85 
note_off 0 81 0 1 
note_on 0 85 61 84 
note_off 0 83 0 1 
note_off 0 85 0 80 
note_on 0 85 62 5 
note_on 0 86 65 85 
note_off 0 85 0 1 
note_off 0 86 0 79 
note_on 0 86 63 5 
note_off 0 86 0 51 
note_on 0 86 69 35 
note_off 0 86 0 256 
note_on 0 86 71 0 
note_off 0 86 0 85 
note_on 0 86 70 0 
note_off 0 86 0 85 
note_on 0 86 76 0 
note_off 0 86 0 86 
note_on 0 86 77 0 
note_on 0 88 81 85 
note_off 0 86 0 1 
note_on 0 89 83 84 
note_off 0 88 0 1 
note_off 0 89 0 80 
note_on 0 89 73 5 
note_on 0 88 71 85 
note_off 0 89 0 1 
note_off 0 88 0 79 
note_on 0 88 71 5 
note_off 0 88 0 51 
note_on 0 88 66 291 
note_on 0 89 72 85 
note_off 0 88 0 1 
note_off 0 89 0 79 
note_on 0 89 63 5 
note_off 0 89 0 51 
note_on 0 89 47 291 
note_on 0 88 42 85 
note_off 0 89 0 1 
note_off 0 88 0 79 
note_on 0 88 48 5 
note_off 0 88 0 86 
note_on 0 80 42 13568 
note_off 0 80 0 256 
note_on 0 80 53 0 
note_off 0 80 0 76 
note_on 0 81 61 52 
note_off 0 81 0 76 
note_on 0 83 64 52 
note_off 0 83 0 256 
note_on 0 83 71 0 
note_off 0 83 0 76 
note_on 0 84 79 52 
note_off 0 84 0 76 
note_on 0 86 83 52 
note_off 0 86 0 256 
note_on 0 86 93 0 
note_off 0 86 0 76 
note_on 0 88 103 52 
note_off 0 88 0 76 
note_on 0 89 102 52 
note_on 0 88 98 128 
note_off 0 89 0 2 
note_on 0 87 99 62 
note_off 0 88 0 1 
note_on 0 88 111 63 
note_off 0 87 0 1 
note_off 0 88 0 59 
note_on 0 76 77 4 
note_off 0 76 0 38 
note_on 0 78 111 26 
note_off 0 78 0 38 
note_on 0 80 115 26 
note_off 0 80 0 38 
note_on 0 81 119 26 
note_off 0 81 0 38 
note_on 0 83 115 26 
note_off 0 83 0 38 
note_on 0 84 119 26 
note_off 0 84 0 38 
note_on 0 83 110 26 
note_off 0 83 0 38 
note_on 0 81 102 26 
note_off 0 81 0 38 
note_on 0 84 121 26 
note_off 0 84 0 38 
note_on 0 83 102 26 
note_off 0 83 0 38 
note_on 0 81 100 26 
note_off 0 81 0 38 
note_on 0 76 91 26 
note_off 0 76 0 38 
note_on 0 78 114 26 
note_off 0 78 0 38 
note_on 0 80 116 26 
note_off 0 80 0 38 
note_on 0 81 124 26 
note_off 0 81 0 38 
note_on 0 83 118 26 
note_off 0 83 0 38 
note_on 0 84 117 26 
note_off 0 84 0 38 
note_on 0 86 121 26 
note_off 0 86 0 38 
note_on 0 88 120 26 
note_off 0 88 0 38 
note_on 0 86 127 26 
note_off 0 86 0 38 
note_on 0 83 108 26 
note_off 0 83 0 38 
note_on 0 84 116 26 
note_off 0 84 0 38 
note_on 0 86 122 26 
note_off 0 86 0 38 
note_on 0 88 121 26 
note_off 0 88 0 38 
note_on 0 86 106 26 
note_off 0 86 0 38 
note_on 0 84 100 26 
note_off 0 84 0 38 
note_on 0 83 105 26 
note_off 0 83 0 38 
note_on 0 84 99 26 
note_off 0 84 0 38 
note_on 0 83 107 26 
note_off 0 83 0 38 
note_on 0 84 119 26 
note_off 0 84 0 38 
note_on 0 86 119 26 
note_off 0 86 0 38 
note_on 0 88 122 26 
note_off 0 88 0 38 
note_on 0 76 85 26 
note_off 0 76 0 38 
note_on 0 78 113 26 
note_off 0 78 0 38 
note_on 0 80 118 26 
note_off 0 80 0 38 
note_on 0 81 102 26 
note_off 0 81 0 38 
note_on 0 83 118 26 
note_off 0 83 0 38 
note_on 0 84 118 26 
note_off 0 84 0 38 
note_on 0 83 109 26 
note_off 0 83 0 38 
note_on 0 81 101 26 
note_off 0 81 0 38 
note_on 0 84 117 26 
note_off 0 84 0 38 
note_on 0 83 106 26 
note_off 0 83 0 38 
note_on 0 81 102 26 
note_off 0 81 0 38 
note_on 0 76 96 26 
note_off 0 76 0 38 
note_on 0 78 115 26 
note_off 0 78 0 38 
note_on 0 80 116 26 
note_off 0 80 0 38 
note_on 0 81 123 26 
note_off 0 81 0 38 
note_on 0 83 119 26 
note_off 0 83 0 38 
note_on 0 84 118 26 
note_off 0 84 0 38 
note_on 0 86 116 26 
note_off 0 86 0 38 
note_on 0 88 120 26 
note_off 0 88 0 38 
note_on 0 86 105 26 
note_off 0 86 0 38 
note_on 0 83 103 26 
note_off 0 83 0 38 
note_on 0 84 118 26 
note_off 0 84 0 38 
note_on 0 86 118 26 
note_off 0 86 0 38 
note_on 0 88 125 26 
note_off 0 88 0 38 
note_on 0 86 106 26 
note_off 0 86 0 38 
note_on 0 84 106 26 
note_off 0 84 0 38 
note_on 0 83 108 26 
note_off 0 83 0 38 
note_on 0 81 100 26 
note_off 0 81 0 256 
note_on 0 88 45 6144 
note_on 0 91 45 0 
note_on 0 86 62 1024 
note_on 0 90 62 0 
note_off 0 88 0 20 
note_off 0 91 0 0 
note_on 0 85 71 492 
note_on 0 88 71 0 
note_off 0 86 0 10 
note_off 0 90 0 0 
note_on 0 78 60 246 
note_on 0 86 60 0 
note_off 0 85 0 5 
note_off 0 88 0 0 
note_on 0 76 59 251 
note_on 0 85 59 0 
note_off 0 78 0 5 
note_off 0 86 0 0 
note_on 0 78 62 251 
note_on 0 86 62 0 
note_off 0 76 0 5 
note_off 0 85 0 0 
note_on 0 80 64 251 
note_on 0 88 64 0 
note_off 0 78 0 5 
note_off 0 86 0 0 
note_on 0 81 63 251 
note_on 0 85 63 0 
note_off 0 80 0 5 
note_off 0 88 0 0 
note_off 0 81 0 481 
note_off 0 85 0 0 
note_on 0 78 62 26 
note_on 0 86 62 0 
note_on 0 80 69 256 
note_on 0 88 69 0 
note_off 0 78 0 5 
note_off 0 86 0 0 
note_on 0 81 53 251 
note_on 0 85 53 0 
note_off 0 80 0 5 
note_off 0 88 0 0 
note_off 0 81 0 481 
note_off 0 85 0 0 
note_on 0 78 58 26 
note_on 0 86 58 0 
note_on 0 80 62 256 
note_on 0 88 62 0 
note_off 0 78 0 5 
note_off 0 86 0 0 
note_off 0 80 0 238 
note_off 0 88 0 0 
note_on 0 81 26 13 
note_off 0 81 0 256 
note_on 0 81 35 0 
note_off 0 81 0 76 
note_on 0 81 30 52 
note_off 0 81 0 72 
note_on 0 81 36 56 
note_off 0 81 0 153 
note_on 0 81 40 103 
note_off 0 81 0 145 
note_on 0 81 34 111 
note_off 0 81 0 256 
note_on 0 81 37 0 
note_off 0 81 0 76 
note_on 0 81 35 52 
note_off 0 81 0 72 
note_on 0 81 37 56 
note_off 0 81 0 153 
note_on 0 81 32 103 
note_off 0 81 0 145 
note_on 0 74 114 111 
note_on 0 83 114 0 
note_off 0 74 0 256 
note_off 0 83 0 0 
note_on 0 72 107 0 
note_on 0 81 107 0 
note_off 0 72 0 76 
note_off 0 81 0 0 
note_on 0 74 114 52 
note_on 0 83 114 0 
note_off 0 74 0 76 
note_off 0 83 0 0 
note_on 0 76 118 52 
note_on 0 84 118 0 
note_off 0 76 0 128 
note_off 0 84 0 0 
note_on 0 74 102 1408 
note_on 0 83 102 0 
note_off 0 74 0 256 
note_off 0 83 0 0 
note_on 0 72 106 0 
note_on 0 81 106 0 
note_off 0 72 0 76 
note_off 0 81 0 0 
note_on 0 74 115 52 
note_on 0 83 115 0 
note_off 0 74 0 76 
note_off 0 83 0 0 
note_on 0 76 116 52 
note_on 0 84 116 0 
note_off 0 76 0 128 
note_off 0 84 0 0 
note_on 0 83 48 896 
note_off 0 83 0 256 
note_on 0 81 43 0 
note_off 0 81 0 76 
note_on 0 88 44 52 
note_on 0 83 50 0 
note_off 0 83 0 76 
note_off 0 88 0 52 
note_on 0 84 31 0 
note_on 0 88 31 0 
note_off 0 84 0 256 
note_off 0 88 0 0 
note_on 0 84 36 0 
note_on 0 88 36 0 
note_off 0 84 0 76 
note_off 0 88 0 0 
note_on 0 84 34 52 
note_on 0 88 34 0 
note_off 0 84 0 72 
note_off 0 88 0 0 
note_on 0 83 34 56 
note_on 0 88 34 0 
note_off 0 83 0 153 
note_off 0 88 0 0 
note_on 0 83 36 103 
note_on 0 88 36 0 
note_off 0 83 0 145 
note_off 0 88 0 0 
note_on 0 88 37 3183 
note_off 0 88 0 256 
note_on 0 88 32 0 
note_off 0 88 0 76 
note_on 0 88 40 52 
note_off 0 88 0 72 
note_on 0 87 35 56 
note_off 0 87 0 156 
note_on 0 86 33 100 
note_off 0 86 0 145 
<meta message end_of_track time=1>
program_change 1 68 0 
control_change 1 121 0 0 
control_change 1 64 0 0 
control_change 1 91 55 0 
control_change 1 10 54 0 
control_change 1 7 77 0 
<meta message track_name name='2 Oboes' time=0>
control_change 1 7 95 0 
note_on 1 72 86 0 
note_on 1 76 86 0 
control_change 1 7 85 215 
control_change 1 7 75 130 
control_change 1 7 65 167 
control_change 1 7 55 215 
control_change 1 7 45 296 
control_change 1 7 35 113 
note_off 1 72 0 144 
note_off 1 76 0 0 
control_change 1 7 60 256 
note_on 1 76 32 32512 
note_on 1 79 32 0 
note_off 1 76 0 256 
note_off 1 79 0 0 
note_on 1 75 38 256 
note_on 1 83 38 0 
note_off 1 75 0 256 
note_off 1 83 0 0 
note_on 1 74 50 256 
note_on 1 78 50 0 
note_off 1 74 0 256 
note_off 1 78 0 0 
note_on 1 72 58 256 
note_on 1 81 58 0 
note_off 1 72 0 256 
note_off 1 81 0 0 
note_on 1 72 71 256 
note_on 1 76 71 0 
note_off 1 72 0 256 
note_off 1 76 0 0 
note_on 1 72 78 256 
note_on 1 76 78 0 
note_off 1 72 0 256 
note_off 1 76 0 0 
note_on 1 71 86 256 
note_on 1 76 86 0 
note_off 1 71 0 256 
note_off 1 76 0 0 
note_on 1 72 95 256 
note_on 1 76 95 0 
note_off 1 72 0 256 
note_off 1 76 0 0 
note_on 1 76 110 0 
note_off 1 76 0 256 
note_on 1 76 115 0 
note_off 1 76 0 76 
note_on 1 76 113 52 
note_off 1 76 0 76 
note_on 1 76 115 52 
note_off 1 76 0 153 
note_on 1 76 110 103 
note_off 1 76 0 145 
note_on 1 76 111 111 
note_off 1 76 0 256 
note_on 1 76 110 0 
note_off 1 76 0 76 
note_on 1 76 117 52 
note_off 1 76 0 76 
note_on 1 76 111 52 
note_off 1 76 0 153 
note_on 1 76 114 103 
note_off 1 76 0 145 
note_on 1 76 113 111 
note_off 1 76 0 256 
note_on 1 76 114 0 
note_off 1 76 0 76 
note_on 1 78 118 52 
note_off 1 78 0 76 
note_on 1 79 118 52 
note_off 1 79 0 153 
note_on 1 79 114 103 
note_off 1 79 0 145 
note_on 1 79 111 111 
note_off 1 79 0 256 
note_on 1 79 110 0 
note_off 1 79 0 76 
note_on 1 79 114 52 
note_off 1 79 0 76 
note_on 1 79 114 52 
note_off 1 79 0 256 
note_on 1 67 98 256 
note_on 1 79 98 0 
note_off 1 67 0 256 
note_off 1 79 0 0 
note_on 1 67 114 0 
note_on 1 79 114 0 
note_off 1 67 0 76 
note_off 1 79 0 0 
note_on 1 69 123 52 
note_on 1 81 123 0 
note_off 1 69 0 76 
note_off 1 81 0 0 
note_on 1 71 121 52 
note_on 1 83 121 0 
note_off 1 71 0 153 
note_off 1 83 0 0 
note_on 1 71 117 103 
note_on 1 83 117 0 
note_off 1 71 0 145 
note_off 1 83 0 0 
note_on 1 66 97 111 
note_on 1 78 97 0 
note_off 1 66 0 256 
note_off 1 78 0 0 
note_on 1 66 110 0 
note_on 1 78 110 0 
note_off 1 66 0 76 
note_off 1 78 0 0 
note_on 1 68 118 52 
note_on 1 80 118 0 
note_off 1 68 0 76 
note_off 1 80 0 0 
note_on 1 69 121 52 
note_on 1 81 121 0 
note_off 1 69 0 153 
note_off 1 81 0 0 
note_on 1 69 113 103 
note_on 1 81 113 0 
note_off 1 69 0 145 
note_off 1 81 0 0 
note_on 1 76 93 111 
note_off 1 76 0 256 
note_on 1 76 110 0 
note_off 1 76 0 76 
note_on 1 76 109 52 
note_off 1 76 0 76 
note_on 1 76 112 52 
note_off 1 76 0 153 
note_on 1 76 110 103 
note_off 1 76 0 145 
note_on 1 76 114 111 
note_off 1 76 0 256 
note_on 1 78 122 0 
note_off 1 78 0 76 
note_on 1 80 120 52 
note_off 1 80 0 76 
note_on 1 81 119 52 
note_off 1 81 0 256 
note_on 1 79 90 256 
note_off 1 79 0 256 
note_on 1 79 101 0 
note_off 1 79 0 76 
note_on 1 81 112 52 
note_off 1 81 0 76 
note_on 1 83 110 52 
note_off 1 83 0 153 
note_on 1 83 98 103 
note_off 1 83 0 145 
note_on 1 78 81 111 
note_off 1 78 0 256 
note_on 1 78 89 0 
note_off 1 78 0 76 
note_on 1 80 91 52 
note_off 1 80 0 76 
note_on 1 81 88 52 
note_off 1 81 0 153 
note_on 1 81 82 103 
note_off 1 81 0 145 
note_on 1 76 62 111 
note_off 1 76 0 256 
note_on 1 76 74 0 
note_off 1 76 0 76 
note_on 1 76 74 52 
note_off 1 76 0 76 
note_on 1 76 74 52 
note_off 1 76 0 153 
note_on 1 76 66 103 
note_off 1 76 0 145 
note_on 1 76 61 111 
note_off 1 76 0 256 
note_on 1 78 60 0 
note_off 1 78 0 76 
note_on 1 80 50 52 
note_off 1 80 0 76 
note_on 1 81 52 52 
note_off 1 81 0 512 
note_on 1 76 41 0 
note_off 1 76 0 256 
note_on 1 78 53 0 
note_on 1 76 49 0 
note_off 1 78 0 76 
note_off 1 76 0 52 
note_on 1 80 50 0 
note_on 1 76 49 0 
note_off 1 80 0 76 
note_off 1 76 0 52 
note_on 1 81 49 0 
note_on 1 76 45 0 
note_off 1 81 0 256 
note_off 1 76 0 0 
note_on 1 76 46 5120 
note_on 1 79 46 0 
note_off 1 76 0 1024 
note_off 1 79 0 0 
note_on 1 74 51 0 
note_on 1 78 51 0 
note_off 1 74 0 114 
note_off 1 78 0 0 
note_on 1 81 56 910 
note_on 1 85 56 0 
note_on 1 80 55 256 
note_on 1 83 55 0 
note_off 1 81 0 5 
note_off 1 85 0 0 
note_on 1 78 54 251 
note_on 1 81 54 0 
note_off 1 80 0 5 
note_off 1 83 0 0 
note_on 1 76 42 251 
note_on 1 80 42 0 
note_off 1 78 0 5 
note_off 1 81 0 0 
note_off 1 76 0 238 
note_off 1 80 0 0 
note_on 1 76 81 3341 
